Laravel
Executable UML
COMIT
Constraint Handling Rules
EusLisp Robot Programming Language
F#
F
Corn
CSP
Easy PL/I
Dart
Cyclone
DinkC
dc
EGL
Dylan
es
Factor
CMS EXEC
Emacs Lisp
Etoys
Fantom
Fancy
FAUST
Ferite
FLOW-MATIC
Forth
Flavors
FORMAC
FOIL
FFP
FL
Felix
FOCUS
Flex
Fortran
Fj̦lnir
@Formula
FOCAL
Fortress
G
Gosu
FSProg
Godiva
FP
GDL
Game Maker Language
GLSL
FPr
Genie
Gibiane
F-Script
GPSS
FoxBase
Google Apps Script
GAP
FoxPro
GJ
G-code
Groovy
Hack (programming language)
G̦del
Goo
Franz Lisp
GEORGE
GAMS
Go!
GNU E
GM
GOM (Good Old Mad)
GOAL
GameMonkey Script
GOTRAN
Harbour
Haskell
GraphTalk
Go
GRASS
Hope
Hop
HAL/S
Hartmann pipelines
HLSL
Hamilton C shell
IDL
Haxe
Idris
IBM Informix-4GL
Id
IMP
HyperTalk
IPTSCRAE
Hume
Hugo
High Level Assembly
J
J#
ICI
IBM HAScript
Inform
ISPF
IBM Basic assembly language
Ioke
IBM RPG
Icon
IPL
Io
ISLISP
J++
JEAN
Jako
Java
Join Java
Janus
JCL
JASS
ISWIM
JADE
JavaScript
JOSS
JAL
Joy
JScript
JScript .NET
Kojo
JOVIAL
Karel
Karel++
Kaleidoscope
KRC
Jython
K
Julia
KIF
Joule
LabVIEW
KEE
KRL
Kixtart
KUKA
L# .NET
L
LANSA
Kotlin
JavaFX Script
ksh
KRYPTON
Lava
Lasso
Leda
Legoscript
Lagoona
Limnor
LIL
LaTeX
LC-3
LINC
Ladder
Little b
LISA
Lingo
Linoleum
LilyPond
Limbo
LIS
Lisp
Lustre
LSE
Lua
Lisaac
Logtalk
Lite-C
Lithe
Lucid
LPC
Lynx
LiveScript
Logo
LSL
Machine code
LiveCode
MARK-IV
MIIS
Max
MicroScript
MATLAB
Maya (MEL)
make
MDL
LYaPAS
Magik
M2001
Mathematica
Maxima
MASM Microsoft Assembly x86
Microcode
Macsyma
M4
Magma
Mirah
Metacard
MetaL
MaxScript
Maple
MillScript
MAD/I
Mesa
Miranda
MIMIC
MAD
MAPPER
Mary
Mercury
Metafont
Model 204
Moby
Modula-2
MIVA Script
Modelica
ML
Modula
Modula-3
Mouse
Mohol
MOO
MSL
MPD
NASM
NATURAL
MUMPS
Mortran
CIL
Nemerle
Nickle
Nial
Neko
Net.Data
NewtonScript
NEWP
NWScript
NESL
nesC
Napier88
NSIS
NetLogo
Nice
NGL
NewLISP
Not Quite C
NetRexx
o:XML
Nu
NPL
Not eXactly C
Newspeak
NXT-G
Oak
Obix
Object Lisp
OCaml
occam
Object Pascal
OBJ2
Oberon
ObjectLOGO
Objective-C
Object REXX
Obliq
Objective-J
Oriel
OpenCL
occam-��
Opa
Onyx
Pascal
P#
OptimJ
Octave
Opal
OpenEdge ABL
Obol
OPL
Orc
PARI/GP
Oxygene
ORCA/Modula-2
Orwell
OmniMark
Oz
OPS5
ParaSail (programming language)
Pict
Phrogram
PeopleCode
Pawn
PL/C
PLANC
PL/SQL
PEARL
Planner
Pike
PILOT
PCASTL
PCF
PDL
PIKT
PL/I
PL/P
PL360
Perl
Pipelines
PL/B
PHP
Plankalk�_l
PL/0
PL-11
Pizza
Pico
PLEX
Picolisp
PL/M
PostScript
PLEXIL
POP-11
Prolog
PowerBuilder
PPL
PortablE
Plus
Prograph
Processing
Powerhouse
Processing.js
PowerShell
PROIV
PROMAL
Promela
Red
Qalb
Rapira
R
Pure
Q (equational programming language)
Racket
Python
PROSE modeling language
Pro*C
R++
QtScript
PROTEL
RPL
Q (programming language from Kx Systems)
RAPID
RSL
Redcode
REBOL
Revolution
Qi
rc
QPL
ROOP
Ratfor
RTL/2
ProvideX
RobotC
REXX
REFAL
rex
QuakeC
Ratfiv
RPG
Rlab
Reia
S2
S
Ruby
RuneScript
Rust
SAM76
Shift Script
Sed
S-Lang
Scala
Script.NET
S-PLUS
SASL
Sather
SabreTalk
SA-C
Scheme
S3
Sawzall
SAIL
SETL
Seed7
SALSA
SAS
SequenceL
Scilab
SBL
Self
SenseTalk
Scratch
SML
SOL
SISAL
Shakespeare
Simula
SiMPLE
SIGNAL
SMALL
SLIP
SIMPOL
Small Basic
SIMSCRIPT
Smalltalk
Simulink
SNOBOL
SPITBOL
Snap!
Snowball
SPARK
SystemVerilog
Tea
Stackless Python
SuperCollider
Starlogo
TACPOL
SPIN
SyncCharts
Squeak
Subtext
SPS
SR
Swift (parallel scripting language)
SP/k
T
Span
Stata
S/SL
Stateflow
SYMPL
Squirrel
TADS
TECO
TAL
SuperTalk
Strand
Swift (Apple programming language)
TACL
TEX
Topspeed
TELCOMP
TMG
Tcl
TIE
Timber
TeX
Trac
Turing
TTM
TOM
TTCN
TUTOR
Tom
TypeScript
TPU
T-SQL
Turbo C++
TXL
Ubercode
Unix shell
Visual Prolog
VHDL
Vala
Visual J++
Uniface
UCSD Pascal
Umple
WebQL
UnrealScript
VSXu
Unicon
Visual DataFlex
Visual FoxPro
Vvvv
UNITY
Visual Basic
Verilog
Visual J#
VBScript
Visual DialogScript
Visual Basic .NET
VBA
WebDNA
Visual Fortran
Visual Objects
Windows PowerShell
X#
XMOS architecture
XOTcl
XL
XBL
XC
xHarbour
Wolfram
Winbatch
WATFIV, WATFOR
Wyvern
X++
XPL
XPL0
X10
XPath
Xtend
XSLT
Xojo
YQL
XSB
Yorick
XQuery
Z notation
Zeno
ZPL
ZOPL
